ID,Matemática,Física,Biologia,Química,Língua Portuguesa,Língua Inglesa,Artes,Filosofia,Redação,História,Geografia
1102,8.33,8.83,7.75,8.5,6.92,7.17,7.33,7.67,6.5,7.0,7.42
1103,9.08,8.5,7.17,8.25,7.92,7.42,7.08,7.92,7.0,7.5,7.42
1104,8.5,8.0,8.33,9.17,7.5,7.5,7.5,7.67,8.0,6.5,7.42
1105,8.25,8.67,7.5,8.25,6.92,7.75,7.58,7.58,8.0,7.67,7.75
1106,8.75,8.83,6.67,8.5,7.58,6.42,6.83,7.58,8.58,7.67,7.58
1107,8.08,8.67,7.58,9.0,7.58,7.5,8.42,8.42,7.92,8.08,7.25
1108,8.75,8.92,7.5,8.67,7.25,6.58,6.67,7.92,7.5,7.92,6.83
1109,8.75,8.5,7.33,8.75,6.83,7.17,7.92,7.75,8.58,7.42,7.75
1110,8.17,8.5,7.42,8.58,7.58,7.08,8.0,7.58,7.83,7.75,6.67
1111,8.17,8.17,6.83,8.83,7.58,6.42,7.5,7.5,7.42,7.0,7.83
1112,8.58,8.0,7.25,8.58,7.5,8.0,7.75,7.08,6.75,7.42,7.75
1113,8.42,8.58,8.33,8.67,8.25,7.83,7.83,7.08,8.17,7.58,6.83
1114,8.25,8.5,7.08,8.33,7.25,8.0,7.25,6.92,7.42,8.92,7.25
1115,8.92,8.67,6.75,8.0,7.17,8.0,8.0,7.92,7.92,7.92,7.5
1116,8.42,8.42,8.0,8.42,7.67,7.83,7.92,7.75,7.58,7.33,6.75
1117,8.58,8.5,7.75,8.42,7.92,8.08,7.92,7.33,7.0,7.58,7.5
1118,8.33,9.0,7.58,8.08,7.83,7.5,7.25,8.0,6.25,8.17,7.83
1119,8.17,7.67,7.67,8.83,7.92,7.25,7.5,7.0,7.25,7.25,7.08
1120,8.17,8.33,6.75,8.83,8.33,7.67,7.33,8.5,7.17,7.92,8.0
1121,8.42,8.42,8.08,8.83,7.75,7.42,7.75,7.67,7.33,8.08,7.08
1122,8.25,8.5,7.92,8.0,7.58,7.17,7.17,7.0,6.92,7.17,7.75
1123,8.33,8.33,7.75,8.5,7.75,7.75,7.67,8.0,7.33,7.33,7.58
1124,8.83,9.42,7.5,8.25,7.58,8.33,7.58,7.17,7.58,7.83,7.33
1125,9.33,7.83,6.83,9.08,7.0,7.67,7.75,7.08,7.08,7.5,7.75
1126,8.33,8.0,7.17,8.75,6.33,7.08,6.67,6.58,7.5,7.67,7.42
1127,8.58,9.42,8.0,8.5,8.5,8.42,7.58,7.0,7.33,7.42,7.5
1128,8.33,8.25,6.92,8.25,7.83,6.67,7.42,7.33,8.42,7.67,6.83
1129,9.0,8.33,7.92,8.42,7.08,7.83,7.42,8.5,7.58,7.67,7.67
1130,8.42,8.92,6.58,8.67,7.83,7.42,7.5,7.42,6.5,7.42,7.33
1131,8.42,8.0,7.92,8.58,7.58,7.17,7.67,6.42,7.17,8.0,7.92
1132,8.67,8.42,8.0,8.58,7.42,7.5,8.08,7.58,7.33,7.42,8.0
1133,8.5,9.17,7.67,8.25,7.5,7.5,7.83,7.0,7.58,8.17,7.33
1134,8.42,8.25,7.17,8.83,7.83,6.58,7.75,7.42,7.42,6.83,7.58
1135,8.5,8.67,7.25,8.17,7.75,7.33,7.33,8.58,8.0,7.33,7.33
1136,8.5,8.5,7.5,8.58,8.0,7.92,7.42,8.42,8.0,7.92,7.67
1137,8.75,8.5,7.75,8.33,8.0,8.0,7.67,8.17,7.58,8.17,7.58
1138,8.5,7.92,7.67,8.25,7.5,8.42,7.33,7.58,8.25,7.17,7.17
1139,7.92,8.83,7.17,8.17,7.08,7.75,7.67,7.5,7.42,7.17,8.0
1140,8.67,8.25,8.25,8.33,7.83,7.67,7.58,6.83,7.5,7.58,7.67
1141,8.33,7.83,7.5,8.75,7.25,7.75,7.83,7.5,8.0,8.17,6.75
1142,8.42,8.67,7.42,8.67,7.58,7.08,7.75,8.0,8.0,6.92,7.92
1143,8.25,9.25,7.58,8.42,7.33,7.5,7.92,6.92,7.0,7.33,8.08
1144,8.75,8.25,6.75,8.33,7.92,7.67,8.0,6.33,7.33,7.58,8.17
1145,7.92,9.0,8.25,8.92,7.83,7.83,7.67,8.33,7.5,7.17,7.58
1146,8.25,8.75,6.75,8.83,7.75,7.17,7.33,6.58,7.42,7.08,7.83
1147,8.17,8.5,7.92,8.25,8.17,7.25,6.5,6.67,8.5,7.25,7.58
1148,8.58,8.17,7.08,8.58,8.17,8.42,7.17,6.67,7.42,8.08,7.08
1149,8.17,9.08,7.33,9.25,7.75,6.58,7.75,8.08,7.08,7.17,7.25
1150,8.25,8.67,7.42,8.75,7.75,7.0,7.58,6.42,8.25,7.58,7.08
1151,8.17,8.25,7.08,8.58,7.33,8.5,7.58,7.75,8.0,8.5,7.83
1152,8.08,8.67,7.75,9.0,6.83,7.83,7.0,7.42,7.33,9.08,7.5
1153,7.92,8.0,8.42,8.75,7.33,7.33,7.33,7.17,7.0,7.75,7.17
1154,8.0,8.5,6.75,8.33,7.25,8.17,8.08,7.33,8.42,7.42,7.17
1155,8.67,8.83,8.08,8.58,7.08,7.67,7.5,6.5,6.92,7.5,6.75
1156,8.58,8.08,7.42,8.5,7.92,6.75,7.17,7.33,6.75,7.17,7.17
1157,8.5,8.83,7.58,8.33,8.0,6.58,6.75,7.5,7.75,7.0,7.83
1158,8.33,8.5,6.67,8.58,7.08,7.25,7.58,7.42,7.58,7.42,7.5
1159,8.67,8.75,7.83,8.25,6.83,8.0,7.42,7.75,7.33,7.67,6.67
1160,8.0,8.67,7.5,8.83,7.83,8.25,7.83,7.17,8.5,7.58,8.33
1161,8.5,8.25,7.42,8.75,7.67,7.92,7.75,7.58,6.75,7.5,7.17
1162,8.92,8.33,7.17,8.17,7.92,7.33,6.67,8.08,7.58,7.08,8.17
1163,8.67,8.67,6.92,8.92,7.0,7.83,7.33,7.17,7.92,6.83,7.83
1164,9.08,8.42,7.58,8.67,7.5,7.0,7.92,7.67,8.0,7.58,7.17
1165,8.42,8.92,7.83,8.17,8.08,7.33,7.67,6.75,7.75,7.92,6.67
1166,8.0,8.92,8.17,8.75,7.0,7.33,7.75,6.42,7.83,6.75,7.92
1167,8.0,8.33,6.92,7.92,7.75,7.5,7.08,6.33,8.0,7.5,7.33
1168,7.92,8.58,7.0,8.17,8.17,6.92,7.75,7.67,7.58,7.33,8.0
1169,8.5,8.33,8.08,8.5,8.17,7.75,7.33,6.67,7.75,7.33,7.92
1170,8.5,8.0,6.92,8.75,7.58,8.17,8.17,8.58,7.17,7.92,8.0
1171,8.83,8.75,7.42,8.33,7.0,7.67,7.92,6.42,6.92,7.17,7.75
1172,8.58,8.42,6.92,9.17,7.08,7.67,7.25,7.58,8.25,7.17,8.33
1173,8.0,8.58,7.75,8.58,7.5,7.83,6.92,7.25,7.58,6.92,6.67
1174,8.33,8.17,7.67,8.58,7.5,7.0,6.83,7.25,8.0,7.0,7.67
1175,8.33,8.58,7.42,8.75,7.5,7.42,7.67,6.83,6.75,6.17,8.25
1176,8.83,9.33,7.33,9.0,7.08,7.58,7.83,6.92,7.67,7.75,8.08
1177,8.67,8.58,7.17,8.5,7.42,7.75,6.92,8.33,7.58,7.25,7.17
1178,8.42,8.58,7.83,8.17,7.42,7.58,8.0,6.67,7.83,8.42,7.58
1179,8.5,7.83,7.25,8.75,7.42,7.75,6.83,6.42,7.5,8.08,7.5
1180,8.33,7.92,8.58,8.42,7.58,7.25,6.92,7.25,8.0,7.42,7.83
1181,8.75,8.17,7.42,8.33,7.17,7.58,7.17,7.5,8.0,7.5,7.58
1182,8.58,8.42,8.0,8.5,7.17,8.25,7.08,7.17,8.67,6.5,7.75
1183,8.58,9.25,8.17,8.25,7.08,7.42,8.42,7.42,7.58,7.42,6.83
1184,7.83,8.67,8.17,8.58,7.42,7.25,7.5,8.17,7.58,7.92,7.58
1185,8.42,8.42,8.58,8.42,6.92,7.42,8.0,6.67,6.75,7.5,7.33
1186,9.17,8.58,7.25,8.0,7.92,7.33,7.42,6.83,8.42,7.17,7.0
1187,8.08,8.5,7.83,8.25,7.75,6.92,8.17,7.0,7.5,7.17,7.08
1188,8.67,8.42,7.5,8.5,8.0,8.17,8.25,7.33,7.25,7.42,8.0
1189,8.92,8.67,7.33,8.5,7.67,7.67,7.92,7.08,7.5,8.17,7.42
1190,8.25,8.33,8.17,8.42,7.17,8.08,7.33,7.42,7.58,7.83,7.67
1191,9.08,8.33,7.25,8.08,7.5,7.42,7.58,7.17,7.42,7.67,7.0
1192,8.25,8.5,7.33,8.67,7.42,7.92,8.58,7.17,7.67,6.83,7.5
1193,8.58,8.83,8.25,7.67,7.25,6.83,7.25,8.08,8.08,7.92,7.08
1194,8.08,9.08,7.83,8.92,7.42,7.5,7.17,7.25,7.0,7.42,8.17
1195,8.67,8.42,7.08,8.5,7.58,6.17,8.42,8.08,6.92,7.75,7.42
1196,8.67,8.17,6.5,8.5,7.5,8.0,7.25,7.33,7.75,7.17,7.5
1197,8.5,8.92,7.5,9.0,7.67,6.83,8.0,7.58,7.42,8.0,7.75
1198,8.67,8.25,8.25,8.5,8.42,7.92,7.25,6.67,8.17,7.58,7.25
1199,8.67,9.0,7.5,8.67,7.42,7.0,7.33,7.42,8.0,7.75,7.33
1200,8.58,7.75,6.42,8.58,8.0,7.5,7.33,7.83,6.92,7.67,8.25
1201,8.75,8.42,6.67,8.33,7.58,7.67,8.0,6.42,7.58,7.5,6.58
1202,8.5,8.08,7.67,8.33,7.83,7.92,7.92,7.25,7.25,8.08,7.08
1203,8.25,8.5,7.67,8.92,7.58,7.92,7.58,7.33,6.92,7.17,7.75
1204,8.67,8.0,7.42,8.75,7.25,7.83,7.83,6.75,7.83,8.17,7.0
1205,8.58,8.92,8.42,8.83,7.42,6.83,7.5,7.0,6.67,7.58,7.75
1206,9.42,8.5,8.08,8.67,7.42,7.67,8.75,7.67,6.42,6.58,7.67
1207,8.67,8.75,7.75,8.25,7.5,7.25,7.08,7.92,7.58,7.08,8.0
1208,8.58,8.08,7.42,8.58,7.83,7.25,7.83,7.0,7.25,7.0,7.5
1209,8.58,8.67,7.83,8.58,7.75,7.33,7.33,8.17,8.5,7.92,8.67
1210,8.08,8.25,7.92,8.5,7.83,8.33,7.08,7.58,6.75,8.42,7.42
1211,8.83,8.58,7.92,8.17,7.33,8.08,7.0,7.75,8.25,6.92,7.58
1212,8.17,7.92,7.75,8.33,7.67,7.58,7.17,7.5,7.67,7.83,7.58
1213,8.33,8.17,7.0,8.58,7.33,7.08,8.33,7.67,7.0,6.92,7.42
1214,7.92,8.5,7.83,8.17,7.67,8.25,7.67,7.08,7.25,7.08,7.5
1215,8.5,8.33,7.92,9.0,7.17,7.92,8.25,6.75,7.58,7.92,6.58
1216,8.25,8.25,6.75,8.17,7.42,8.25,7.08,7.83,7.42,7.08,7.58
1217,8.0,8.33,7.83,8.83,8.0,7.58,8.83,8.17,6.92,6.67,7.92
1218,8.17,8.92,7.33,8.67,7.08,7.67,7.83,8.0,7.25,7.25,7.42
1219,8.33,8.33,7.25,8.58,7.58,7.0,7.0,8.08,7.83,7.75,8.0
1220,8.08,8.25,8.0,8.67,7.58,7.92,7.5,7.67,7.42,6.75,7.75
1221,8.75,8.33,8.0,8.5,7.58,7.17,7.58,7.33,7.17,6.92,7.08
1222,8.25,8.58,8.5,8.25,6.67,7.5,7.92,7.58,7.33,8.5,7.75
1223,9.5,8.5,7.33,8.42,7.42,7.58,7.25,7.67,7.58,7.17,7.92
1224,8.17,8.83,7.42,8.33,7.17,7.83,7.42,7.33,7.42,8.5,7.17
1225,8.58,8.08,7.92,8.25,7.58,7.58,7.42,7.42,7.83,8.0,7.58
1226,8.75,8.67,7.42,8.25,7.67,7.42,8.33,8.58,6.83,7.83,7.17
1227,8.58,8.17,6.67,8.08,7.33,7.58,7.0,6.92,7.08,8.25,8.0
1228,8.42,8.58,7.17,8.25,8.58,7.58,7.5,7.25,7.83,7.0,7.08
1229,8.25,8.58,7.58,8.33,7.42,7.0,6.5,6.92,6.75,7.92,7.58
1230,8.42,8.5,7.67,8.5,7.42,8.0,7.25,7.0,7.17,7.33,6.92
1231,8.67,8.83,8.0,8.5,8.0,7.33,6.83,7.58,8.25,7.0,7.25
1232,8.33,8.58,7.67,8.75,6.92,7.58,6.83,7.33,6.92,7.42,7.5
1233,7.92,8.75,7.17,8.33,7.42,7.83,7.92,7.58,7.33,7.17,7.42
1234,8.33,8.83,7.83,8.67,7.42,7.58,8.17,8.17,8.0,6.5,8.25
1235,8.33,7.92,7.33,8.58,7.17,7.42,7.75,6.58,8.0,7.75,7.33
1236,8.25,8.0,8.17,8.67,7.92,7.5,7.92,7.83,7.33,7.5,7.0
1237,9.0,8.58,6.58,8.08,7.25,6.92,7.5,8.17,7.5,7.5,7.17
1238,8.67,8.58,7.92,8.58,7.67,7.67,8.25,8.0,6.92,7.0,7.25
1239,8.33,8.42,7.92,8.33,7.0,7.08,7.92,8.08,7.25,8.17,7.75
1240,8.67,8.83,7.83,8.75,8.42,7.42,7.67,8.0,8.08,7.33,7.5
1241,8.92,8.25,7.17,8.42,7.58,7.83,7.25,7.25,8.0,7.33,8.17
1242,8.83,8.67,8.42,8.5,8.33,7.75,8.42,7.58,7.58,7.75,6.58
1243,8.17,8.83,7.92,8.33,8.17,7.25,7.75,7.92,7.08,8.17,6.67
1244,8.25,8.33,7.25,8.33,6.92,7.0,7.33,7.75,6.42,7.17,7.67
1245,8.67,8.5,7.33,8.0,7.92,6.75,6.92,7.58,7.25,7.92,7.25
1246,8.08,8.17,6.67,8.83,8.5,7.33,8.17,7.33,6.58,6.92,7.25
1247,8.17,8.25,7.25,8.08,7.58,7.67,7.08,7.75,7.25,7.33,8.25
1248,8.08,8.67,7.0,8.5,7.25,6.67,7.33,7.75,7.33,6.42,7.5
1249,8.67,8.42,7.17,8.08,7.5,7.67,7.42,7.17,7.33,7.33,7.0
1250,7.92,8.67,7.17,8.5,7.5,6.67,7.67,6.17,6.92,7.17,7.83
1251,8.17,7.75,7.42,8.58,7.0,7.17,8.67,8.17,8.0,7.83,7.42
1252,8.33,8.67,7.42,8.25,7.17,6.58,7.58,7.75,7.42,7.25,7.5
1253,8.33,8.67,7.67,8.0,7.67,7.67,7.33,7.58,8.0,6.58,8.42
1254,8.5,8.42,7.58,8.83,8.0,6.83,6.75,7.67,7.17,7.25,7.75
1255,8.0,8.58,7.58,8.58,7.25,7.25,7.92,8.25,7.67,7.08,7.42
1256,8.83,8.42,7.92,8.67,7.42,6.92,7.33,7.33,7.83,8.08,7.92
1257,8.92,8.0,8.33,8.17,7.42,6.83,6.83,7.25,7.75,7.42,7.42
1258,8.17,8.25,7.25,9.0,7.58,6.83,7.67,7.33,6.83,7.67,7.33
1259,8.83,8.42,7.5,8.25,7.25,7.42,8.0,7.83,7.08,6.67,7.17
1260,8.58,8.08,7.58,8.92,7.92,7.67,8.0,7.58,6.83,7.67,7.17
1261,8.42,8.33,7.83,8.58,6.92,7.33,8.33,7.25,7.83,7.83,7.58
1262,8.75,8.92,8.08,8.42,6.92,8.0,6.67,7.17,6.92,6.83,7.58
1263,8.33,8.5,7.0,8.5,7.58,7.42,7.5,7.33,7.75,7.33,7.5
1264,8.58,8.58,7.42,8.58,6.75,7.58,7.92,8.0,7.67,7.5,7.67
1265,8.42,9.17,7.08,8.58,7.58,7.58,6.92,7.08,8.33,7.42,7.5
1266,9.08,8.75,8.17,8.67,7.75,6.83,8.0,7.33,6.25,7.5,6.83
1267,7.83,8.42,7.67,9.08,6.92,7.25,7.33,7.33,8.25,7.67,7.33
1268,8.75,8.42,7.25,8.5,7.92,7.67,7.83,7.33,8.33,8.0,7.42
1269,8.25,8.08,8.08,8.75,7.42,7.83,7.33,8.17,8.25,7.08,7.42
1270,8.75,8.42,6.75,8.33,6.67,7.17,7.0,7.83,7.67,8.08,7.67
1271,8.42,8.42,7.42,8.08,7.5,8.0,7.25,8.0,8.25,7.58,7.83
1272,8.25,8.58,6.33,8.92,7.0,6.83,6.75,7.67,7.25,6.75,7.25
1273,9.0,8.33,7.33,8.08,8.17,8.0,6.5,7.33,7.5,7.08,7.0
1274,7.83,9.08,6.92,9.17,6.58,7.17,7.67,7.0,8.75,8.42,7.75
1275,8.08,7.83,7.17,8.42,7.33,7.42,7.92,7.58,7.42,6.75,8.17
1276,8.5,8.5,7.17,8.67,7.0,7.58,8.0,7.42,8.08,6.83,7.5
1277,8.83,8.5,7.83,8.83,7.67,7.17,7.83,7.25,8.0,7.33,7.0
1278,8.42,8.33,7.92,8.17,7.0,6.33,7.17,8.08,7.83,7.92,7.42
1279,8.67,8.67,6.92,9.25,6.67,7.5,6.75,7.5,7.83,7.08,7.67
1280,8.75,8.33,7.08,9.08,8.25,7.92,8.17,7.17,7.75,8.25,7.42
1281,8.08,8.17,8.33,8.42,7.42,8.25,7.58,8.0,7.75,7.5,7.33
1282,8.92,8.58,7.67,7.92,7.83,7.67,7.67,6.42,7.5,7.75,7.83
1283,8.08,8.58,6.83,8.42,7.33,7.5,7.67,7.75,7.42,7.0,6.75
1284,8.25,8.83,7.42,8.75,8.08,7.75,8.08,7.42,7.83,6.92,7.17
1285,8.33,8.25,6.83,8.58,7.75,7.67,7.0,7.5,7.92,8.08,7.58
1286,8.42,8.25,7.75,8.42,7.92,7.67,6.83,8.33,7.33,7.58,7.17
1287,8.92,8.67,7.33,8.67,7.83,7.67,7.17,7.25,6.75,7.83,7.58
1288,8.08,8.83,8.0,8.0,7.33,7.92,7.5,6.5,7.5,7.67,7.75
1289,8.5,8.08,8.0,8.25,8.08,7.42,7.25,7.58,7.5,7.25,6.75
1290,8.58,8.83,8.0,8.5,7.42,8.0,7.75,7.33,7.08,7.0,7.42
1291,8.5,8.42,7.58,8.33,7.17,6.92,8.0,6.83,7.58,7.58,7.08
1292,8.25,8.0,7.58,8.67,8.17,7.0,6.83,6.33,7.25,7.67,8.0
1293,8.58,8.92,6.67,8.42,8.08,7.08,7.67,7.5,7.83,7.0,7.92
1294,8.33,8.92,8.5,8.75,7.5,7.08,6.92,7.75,7.67,7.0,7.17
1295,8.25,8.5,7.75,8.33,7.58,7.83,7.83,6.67,8.0,6.33,7.0
1296,8.33,8.67,7.5,8.58,6.92,7.42,7.67,7.17,6.75,7.17,7.58
1297,8.67,8.92,7.92,8.5,7.25,7.92,6.83,6.83,6.67,7.42,7.25
1298,8.92,8.17,7.25,7.83,7.42,7.17,7.75,7.08,7.5,7.25,7.58
1299,8.75,8.5,7.17,8.67,7.58,8.75,7.17,7.67,7.42,7.42,7.0
1300,7.75,9.08,8.5,8.17,7.17,7.33,8.08,6.75,7.42,7.83,7.5
1301,8.83,8.33,6.83,8.92,7.75,7.75,7.83,7.75,7.58,8.08,7.0
1302,8.67,9.08,7.92,8.83,6.5,7.58,7.58,7.08,7.83,7.92,7.67
1303,8.67,8.75,7.42,8.33,7.0,8.08,7.67,7.75,7.33,7.25,7.0
1304,8.75,8.33,8.75,8.75,8.08,7.33,7.25,8.17,7.58,7.75,7.92
1305,8.75,8.5,7.58,8.25,8.25,8.0,8.25,8.17,7.67,6.83,7.92
1306,8.58,8.33,7.75,8.67,7.25,6.92,7.17,6.5,6.67,7.33,8.25
1307,8.5,9.33,7.25,8.75,7.5,6.33,6.5,7.17,6.92,7.75,8.0
1308,8.08,8.08,7.5,8.33,7.58,7.5,7.08,7.58,7.33,7.33,7.0
1309,8.42,8.67,7.67,8.58,7.58,7.25,7.5,7.08,7.42,7.0,8.08
1310,8.75,8.92,7.67,8.58,8.5,8.33,6.75,7.17,7.92,8.0,7.33
1311,8.25,8.58,7.67,8.58,7.92,7.42,7.42,6.5,7.0,6.75,8.0
1312,7.92,8.25,6.58,8.5,7.42,7.58,7.5,8.17,8.25,7.0,8.0
1313,8.5,7.92,7.75,8.25,7.17,7.17,6.92,7.17,8.0,7.17,7.33
1314,8.25,8.58,7.0,8.33,8.08,6.33,7.0,8.0,7.08,8.58,7.5
1315,9.0,8.5,7.5,9.0,6.83,7.25,7.42,7.33,6.83,7.92,7.83
1316,8.58,8.5,7.58,8.75,8.58,6.75,7.42,7.42,7.0,6.42,6.75
1317,9.0,9.17,6.83,8.92,7.5,7.92,7.67,7.25,8.75,7.5,7.33
1318,8.67,8.92,7.5,8.75,7.5,8.08,7.0,7.42,8.33,7.67,7.25
1319,8.5,8.5,7.17,8.58,7.42,8.42,7.08,7.75,7.58,7.92,6.92
1320,8.42,8.25,7.75,8.5,7.67,8.42,7.33,7.5,8.25,7.5,7.83
1321,8.83,8.5,7.67,8.0,7.5,7.92,7.42,8.08,7.5,8.75,7.75
1322,8.33,8.42,6.75,8.42,8.17,6.83,8.58,7.42,7.58,7.33,7.67
1323,8.08,8.0,7.58,8.33,7.5,6.17,8.42,7.25,7.83,7.42,7.25
1324,8.5,8.67,7.83,8.67,7.5,8.08,7.92,8.92,7.0,7.83,7.58
1325,8.08,8.58,8.25,8.58,7.5,7.75,7.5,7.92,7.5,7.08,7.5
1326,8.5,8.75,7.17,8.5,7.58,7.92,7.25,7.58,7.58,7.75,7.42
1327,8.5,8.25,7.75,8.83,7.5,7.17,6.83,7.25,7.67,7.83,6.75
1328,8.83,8.67,7.08,8.75,7.42,7.25,7.67,7.17,8.5,7.92,7.17
1329,8.75,8.5,7.58,8.17,7.75,7.75,6.83,7.17,7.5,8.42,6.92
1330,8.75,8.67,8.33,8.33,7.33,6.83,6.92,7.5,7.08,7.83,8.5
1331,8.42,8.5,7.83,8.42,6.5,7.25,6.83,6.92,7.83,8.0,7.83
1332,8.0,7.83,7.08,8.58,7.42,7.67,7.42,8.0,8.0,7.08,7.92
1333,8.0,9.0,7.92,8.92,7.0,7.58,7.17,6.42,7.33,7.5,7.58
1334,8.0,8.17,7.08,8.5,8.17,7.58,8.0,7.5,6.42,7.58,6.92
1335,8.17,8.42,7.92,8.17,7.58,6.67,7.25,7.33,7.75,7.5,7.67
1336,8.67,8.67,6.5,8.58,7.58,7.83,7.42,7.33,7.58,7.08,7.33
1337,8.67,8.58,8.33,8.42,7.92,7.67,7.75,8.08,7.58,8.58,8.08
1338,8.67,8.67,7.25,8.33,8.08,6.75,7.83,7.58,7.17,7.5,7.67
1339,8.25,8.33,7.0,8.75,7.83,7.25,8.33,7.25,8.0,8.08,7.92
1340,8.92,9.25,8.17,8.5,7.0,7.0,7.17,7.92,7.08,6.92,7.25
1341,8.58,8.58,7.83,8.08,7.5,7.25,6.42,7.67,6.83,7.5,6.83
1342,8.42,8.67,7.83,8.42,7.17,7.5,7.75,7.25,7.25,7.0,8.08
1343,8.33,8.5,8.08,8.5,7.17,7.17,7.67,7.17,6.83,7.42,6.75
1344,8.08,8.75,6.58,7.92,7.5,7.5,7.5,8.08,7.92,6.75,7.0
1345,9.08,8.83,7.17,8.33,7.17,8.0,7.25,7.17,7.75,8.67,7.08
1346,9.17,7.75,8.17,8.5,7.25,6.08,7.92,7.08,7.17,8.08,7.42
1347,8.42,8.67,7.33,8.75,7.17,6.75,7.17,8.33,7.25,7.58,8.58
1348,8.17,8.08,7.58,8.08,7.67,7.58,7.67,6.92,7.83,6.58,7.17
1349,8.92,8.58,6.92,9.33,7.08,7.42,8.67,8.0,7.33,8.0,7.42
1350,8.75,9.08,7.58,8.75,8.08,7.67,6.83,7.33,6.92,7.08,7.42
1351,8.58,8.5,6.67,8.5,7.92,7.08,7.67,8.08,6.92,8.17,7.42
1352,8.42,7.83,7.58,7.92,8.0,7.58,7.42,7.08,6.92,7.83,7.67
1353,8.08,8.92,7.42,8.42,7.33,7.83,7.42,8.0,7.58,8.25,7.58
1354,8.08,8.83,8.75,8.92,7.08,7.92,7.42,7.92,7.5,7.92,7.75
1355,8.75,8.67,7.17,8.33,7.33,6.67,7.25,7.5,8.08,7.42,7.08
1356,8.42,8.83,7.42,8.67,7.17,8.0,8.17,7.42,6.75,6.83,6.75
1357,8.33,8.75,7.75,8.92,8.5,7.58,7.83,7.42,7.5,7.33,7.33
1358,8.58,8.92,7.42,8.5,7.67,7.75,7.5,7.75,7.58,7.0,6.75
1359,8.17,8.25,7.58,8.67,7.5,7.25,7.75,7.08,6.5,7.33,8.08
1360,8.17,8.33,7.83,8.42,7.67,7.42,7.75,8.0,7.08,7.5,7.58
1361,8.08,8.5,7.92,7.67,6.92,7.92,8.17,6.83,7.25,7.67,7.25
1362,9.0,8.67,7.83,8.58,7.25,7.17,7.25,6.92,6.67,7.33,7.42
1363,8.83,8.58,8.25,8.08,7.25,7.58,7.42,7.75,7.42,7.58,7.92
1364,8.5,8.67,6.92,8.42,7.0,7.67,7.75,6.92,6.67,8.0,7.58
1365,8.25,8.58,7.25,8.42,7.08,7.42,7.67,7.67,7.5,7.0,7.0
1366,8.08,8.25,7.08,8.17,7.75,8.0,7.5,6.67,7.17,8.08,7.33
1367,8.08,8.33,7.42,8.5,8.92,7.25,6.92,7.0,7.33,7.17,7.25
1368,8.08,8.08,7.08,8.58,6.75,7.5,7.25,7.83,7.17,7.83,6.75
1369,8.25,9.0,7.0,8.5,7.67,7.17,7.25,8.25,8.17,7.33,8.0
1370,8.33,8.5,8.25,8.42,7.0,7.5,7.33,6.92,7.33,7.33,8.08
1371,8.83,8.25,7.5,9.08,8.58,7.5,7.25,6.5,7.58,7.0,8.42
1372,8.5,8.67,7.17,8.92,7.33,7.67,7.17,7.25,7.5,7.33,8.0
1373,9.08,8.83,7.75,8.83,6.67,8.33,7.17,7.17,7.67,7.17,7.42
1374,8.42,8.75,7.25,8.75,7.92,8.17,7.83,7.67,6.33,7.58,7.92
1375,8.17,8.58,7.58,8.67,7.75,6.5,7.58,7.08,7.33,7.58,7.33
1376,8.92,8.42,7.58,8.17,7.67,7.58,8.5,7.25,7.58,7.25,8.33
1377,8.17,8.83,7.33,8.58,8.0,7.75,7.92,8.0,7.08,7.75,7.42
1378,8.17,7.92,6.83,8.0,7.92,7.67,7.83,8.0,6.75,6.83,7.0
1379,8.67,7.83,6.67,8.92,7.33,8.25,7.17,7.25,7.0,7.75,7.42
1380,7.83,8.67,7.83,8.33,8.67,7.5,6.75,7.0,7.25,8.42,7.0
1381,9.08,8.92,7.67,8.17,7.42,7.58,7.08,7.67,7.33,8.42,7.17
1382,8.58,8.5,7.58,7.83,7.42,7.5,8.33,6.92,8.08,7.33,7.92
1383,8.33,7.92,7.67,8.5,6.92,7.75,7.25,8.0,8.08,8.17,7.33
1384,8.67,9.0,7.25,8.58,8.0,7.5,8.58,7.42,6.92,7.33,8.5
1385,8.5,8.58,7.5,8.83,7.25,7.92,7.33,8.17,7.58,8.08,7.0
1386,8.25,8.58,6.75,8.5,8.25,7.83,7.67,6.83,7.08,8.33,7.25
1387,8.42,8.33,8.0,8.75,7.17,7.92,7.0,7.33,7.5,6.92,7.75
1388,8.58,8.67,7.83,8.58,7.42,7.17,7.33,7.17,7.33,7.25,7.58
1389,8.08,8.0,8.0,8.58,7.17,7.0,7.5,7.17,7.58,7.67,6.75
1390,8.42,8.67,7.92,8.42,7.67,8.08,7.92,8.67,7.67,7.17,7.5
1391,8.42,8.33,7.25,8.42,8.0,7.33,7.92,8.75,7.75,7.5,7.42
1392,8.83,8.25,7.75,8.5,7.5,6.92,7.17,7.5,8.17,6.92,7.75
1393,8.08,8.5,6.58,8.92,8.0,6.67,7.33,7.42,8.08,7.58,7.67
1394,8.5,8.58,7.58,8.42,6.58,7.5,7.25,7.42,7.42,8.58,7.83
1395,8.75,8.08,7.67,7.83,7.83,8.17,7.42,8.08,7.67,7.17,6.83
1396,8.42,9.33,7.58,8.33,7.0,7.42,7.58,7.25,7.67,7.42,7.25
1397,8.25,8.17,7.75,8.33,7.0,7.0,7.25,7.33,7.92,7.5,7.83
